iter	RMSE
0	6.409220975
1	5.882873738
2	5.419663546
3	4.986084866
4	4.629888002
5	4.265186675
6	3.960148186
7	3.651920753
8	3.461922522
9	3.239534587
10	3.035732968
11	2.815939085
12	2.650646793
13	2.510568468
14	2.358007798
15	2.219631409
16	2.080977001
17	1.965111466
18	1.86697374
19	1.782179245
20	1.689384731
21	1.594815553
22	1.518950773
23	1.442457594
24	1.379360543
25	1.316478151
26	1.259198954
27	1.210285649
28	1.161257023
29	1.127521298
30	1.089134593
31	1.05388818
32	1.012321793
33	0.9815219942
34	0.9583218992
35	0.9286718516
36	0.9034617191
37	0.8805815088
38	0.8540093025
39	0.8261654843
40	0.8064729463
41	0.7897860611
42	0.768454827
43	0.7490707571
44	0.7335374387
45	0.7209242858
46	0.7156318584
47	0.6990869253
48	0.6791030919
49	0.6716645297
50	0.6580759395
51	0.6453832664
52	0.6317412838
53	0.6178890042
54	0.6105651386
55	0.6040988735
56	0.5975329033
57	0.591070591
58	0.5776267325
59	0.5671082655
60	0.553512
61	0.541404681
62	0.5329582144
63	0.5241601595
64	0.5190638099
65	0.5116776744
66	0.5064590203
67	0.4951103001
68	0.4884568402
69	0.4847415092
70	0.4754293059
71	0.467636908
72	0.4638949204
73	0.4604493097
74	0.4571221438
75	0.4522045269
76	0.4491783298
77	0.4462924768
78	0.4378979004
79	0.4352414982
80	0.4324284705
81	0.4297938385
82	0.4201046734
83	0.4129312057
84	0.4057212239
85	0.4030563019
86	0.3965874163
87	0.3896156777
88	0.3873410444
89	0.3816553166
90	0.3796129435
91	0.3745627519
92	0.3728255693
93	0.370921374
94	0.3657763064
95	0.3641241908
96	0.3624509495
97	0.357628869
98	0.3559104232
99	0.3543201608
100	0.3530011382
101	0.3515573495
102	0.3465399011
103	0.3421973869
104	0.3410290774
105	0.3366554349
106	0.3332910389
107	0.3320816659
108	0.3309514887
109	0.3300020556
110	0.3257634553
111	0.3221622807
112	0.3192333931
113	0.3182876438
114	0.3174192869
115	0.3150175659
116	0.3141200567
117	0.3106747808
118	0.3099254161
119	0.3071042663
120	0.3064103056
121	0.3047368159
122	0.3016470814
123	0.2998912169
124	0.2992572624
125	0.2986450992
126	0.2952824378
127	0.2923553843
128	0.2917666011
129	0.2888194954
130	0.2875990302
131	0.2851042751
132	0.2831001411
133	0.2825564336
134	0.2815715376
135	0.2803723051
136	0.2787183913
137	0.2765327226
138	0.2752230733
139	0.2737706098
140	0.2726562304
141	0.2705654102
142	0.268763222
143	0.2664689304
144	0.2660915476
145	0.2648156416
146	0.2644233009
147	0.2621943419
148	0.2612400711
149	0.2592564149
150	0.2573884937
151	0.2564474473
152	0.25590521
153	0.253903145
154	0.2523531824
155	0.2520409141
156	0.2506576729
157	0.2498318933
158	0.2486405427
159	0.2479477893
160	0.246364894
161	0.2445282198
162	0.2432121428
163	0.2429327283
164	0.2413830767
165	0.2402664577
166	0.2389024679
167	0.2386031143
168	0.2375907651
169	0.237069323
170	0.2358247369
171	0.2351025448
172	0.2344911882
173	0.2327563293
174	0.2318072475
175	0.230536332
176	0.2295975116
177	0.2289162084
178	0.2279718324
179	0.2270776175
180	0.2262742308
181	0.2240741393
182	0.2233074665
183	0.2224473484
184	0.2215383762
185	0.220624404
186	0.2196860746
187	0.2185265298
188	0.2177739703
189	0.2168166906
190	0.216077344
191	0.2158970766
192	0.2145403422
193	0.2142426057
194	0.2135734503
195	0.213008571
196	0.2126866788
197	0.2118740232
198	0.2109283916
199	0.2090994754
200	0.2086435119
201	0.2079188623
202	0.2065784956
203	0.2052556659
204	0.204239091
205	0.2033976177
206	0.2024500192
207	0.2022406544
208	0.2018651247
209	0.2009846721
210	0.2003561233
211	0.1996180028
212	0.1984667189
213	0.1979640873
214	0.1974286046
215	0.1967449679
216	0.1964454449
217	0.1960712407
218	0.1955153041
219	0.1948702476
220	0.1946177861
221	0.1942600762
222	0.1937946871
223	0.1931954549
224	0.1923270696
225	0.1915902655
226	0.1905848245
227	0.1892320764
228	0.1885319391
229	0.1876391711
230	0.187274067
231	0.1859305204
232	0.1854089607
233	0.1851020345
234	0.1847781506
235	0.1838581666
236	0.1834480201
237	0.1827118027
238	0.1816523047
239	0.1815355368
240	0.1811134564
241	0.1809437244
242	0.1800299836
243	0.179069029
244	0.1787689832
245	0.177848182
246	0.1771953948
247	0.1768437495
248	0.1765706057
249	0.1762600012
250	0.1761668979
251	0.1754950151
252	0.1749473077
253	0.1741471564
254	0.1736230544
255	0.1735566868
256	0.173154134
257	0.1719249588
258	0.1712740326
259	0.1705302869
260	0.1700145237
261	0.1697711388
262	0.1691809022
263	0.1688176962
264	0.168529139
265	0.1682896185
266	0.1675726502
267	0.1667949302
268	0.1663052304
269	0.1657563835
270	0.165003253
271	0.1646587087
272	0.1642488532
273	0.1640777654
274	0.1638530696
275	0.1636807828
276	0.1633545002
277	0.162693155
278	0.161876249
279	0.1612341664
280	0.1612038478
281	0.1606650483
282	0.1603479692
283	0.1601294825
284	0.159759399
285	0.1595756226
286	0.159470584
287	0.1590456011
288	0.1586993601
289	0.1581877653
290	0.15805079
291	0.1580238643
292	0.1578037858
293	0.1573762329
294	0.1569955888
295	0.1565989913
296	0.1561621651
297	0.155843221
298	0.1554032226
299	0.1552645801
300	0.1548741663
301	0.1544670802
302	0.1538244101
303	0.1534629577
304	0.1529470131
305	0.1528832362
306	0.1525365523
307	0.1522005676
308	0.1512112259
309	0.150386946
310	0.1499564069
311	0.1493389879
312	0.1489224878
313	0.1483944693
314	0.1478797349
315	0.1472295425
316	0.1467479268
317	0.1462676376
318	0.1455741698
319	0.1453088755
320	0.1452017012
321	0.1448721524
322	0.1443897513
323	0.1441142354
324	0.1434542016
325	0.1429170838
326	0.142423669
327	0.1421103842
328	0.1418699024
329	0.1416616281
330	0.1414360302
331	0.1410426178
332	0.1407036787
333	0.1403388763
334	0.140273542
335	0.1398585328
336	0.1397095697
337	0.1394602076
338	0.1391473401
339	0.138648376
340	0.1379338167
341	0.1374625186
342	0.1368018823
343	0.13643204
344	0.1361863517
345	0.1358665276
346	0.1353247119
347	0.13487487
348	0.1346027288
349	0.1342647366
350	0.1340130425
351	0.1335752123
352	0.133403746
353	0.1331293759
354	0.1328718902
355	0.1326148285
356	0.1323069313
357	0.1319121856
358	0.131572057
359	0.1309709112
360	0.1308165523
361	0.1303773653
362	0.1300727626
363	0.1297252457
364	0.1294191822
365	0.1292869466
366	0.1292645429
367	0.1289790824
368	0.1288561992
369	0.1287420976
370	0.1284155338
371	0.1279463036
372	0.1276726877
373	0.1273858003
374	0.127167057
375	0.1266569158
376	0.1261687228
377	0.1259613518
378	0.1255079888
379	0.1252951933
380	0.1249790011
381	0.1248081796
382	0.1246242858
383	0.1244835955
384	0.1241047357
385	0.1237770945
386	0.123443156
387	0.1232868325
388	0.1229579908
389	0.1226943004
390	0.1223086963
391	0.1221083585
392	0.1219339341
393	0.1218461927
394	0.1213430131
395	0.1210972296
396	0.1205561463
397	0.120003222
398	0.1197215946
399	0.1190418034
400	0.1187808714
401	0.1184347584
402	0.1182488508
403	0.1181645973
404	0.1179228461
405	0.1178070938
406	0.1173628474
407	0.1172712409
408	0.1169767724
409	0.1167169403
410	0.1164992922
411	0.1161853556
412	0.1161487934
413	0.1160111991
414	0.1156490558
415	0.1152264114
416	0.1150714323
417	0.1149289746
418	0.1144979288
419	0.1142096228
420	0.1141004336
421	0.1138691899
422	0.1136191302
423	0.1132341503
424	0.1130257474
425	0.1127968059
426	0.1122813492
427	0.1120306584
428	0.1118405156
429	0.1113466856
430	0.1110544432
431	0.1107153009
432	0.1103527719
433	0.1101245476
434	0.1099270429
435	0.1096428685
436	0.1093014182
437	0.1091376709
438	0.1088500108
439	0.1085993255
440	0.1084843356
441	0.1081734305
442	0.1080064184
443	0.1078258828
444	0.1077113473
445	0.1075476008
446	0.1074640512
447	0.107290675
448	0.1071318794
449	0.1067840371
450	0.1066262523
451	0.1063127413
452	0.1061371906
453	0.1060066432
454	0.10588974
455	0.1054602155
456	0.1052205464
457	0.1050956011
458	0.1049451007
459	0.1047414683
460	0.1044967381
461	0.104164672
462	0.1039168264
463	0.1036496177
464	0.1034335749
465	0.1032729414
466	0.1029714882
467	0.1026435399
468	0.1022940741
469	0.1021498225
470	0.1020587069
471	0.1017307084
472	0.1015699838
473	0.1013436712
474	0.1012571479
475	0.1011556217
476	0.1009958509
477	0.1006964416
478	0.10052763
479	0.1001874266
480	0.09995805696
481	0.09959016814
482	0.09917819455
483	0.09893040284
484	0.09872825285
485	0.09849782176
486	0.09835301965
487	0.09799452321
488	0.09781493492
489	0.09766438713
490	0.0975583779
491	0.09743697505
492	0.09730797576
493	0.0970532247
494	0.09693780049
495	0.09679974155
496	0.09642126816
497	0.09632905627
498	0.09618661936
499	0.09601671761
500	0.09594073709
501	0.09576195567
502	0.0956071908
503	0.09532234341
504	0.09526379381
505	0.09496100213
506	0.09466964637
507	0.09446535334
508	0.09444223779
509	0.09428053003
510	0.09415591298
511	0.09391847695
512	0.09363819149
513	0.09360495288
514	0.09342103837
515	0.09330256235
516	0.09326333366
517	0.09304488599
518	0.09296234301
519	0.09276955001
520	0.09259213954
521	0.09235297885
522	0.09230249839
523	0.09213983094
524	0.09187754225
525	0.09175438033
526	0.09158657206
527	0.09146454578
528	0.09114198994
529	0.09092174591
530	0.09080247083
531	0.09066576211
532	0.0903820435
533	0.09027047347
534	0.09007470059
535	0.09006412337
536	0.089762786
537	0.08970850803
538	0.08965535208
539	0.08959985662
540	0.08957832572
541	0.08936905916
542	0.08930022177
543	0.08919515279
544	0.08917903382
545	0.08892489192
546	0.08863879941
547	0.08849564503
548	0.08829489614
549	0.08820784148
550	0.08809729623
551	0.0880752904
552	0.08802733922
553	0.08801377914
554	0.08782461757
555	0.08772220789
556	0.08770281237
557	0.08761260653
558	0.08753987658
559	0.08735647243
560	0.08717497451
561	0.08707229259
562	0.08681132096
563	0.08678607068
564	0.08657547056
565	0.08652093169
566	0.08640467717
567	0.0861867712
568	0.08600767977
569	0.08587938639
570	0.08567841717
571	0.08557775119
572	0.08544715139
573	0.08525634456
574	0.08512611007
575	0.08502683504
576	0.08491100116
577	0.08477846477
578	0.08464553758
579	0.08452104599
580	0.08443647053
581	0.08423882959
582	0.08418176207
583	0.08413749821
584	0.08397421423
585	0.08383001491
586	0.08368094474
587	0.0835545869
588	0.08343738732
589	0.08329367113
590	0.08319682682
591	0.08307171817
592	0.08304062052
593	0.08284223465
594	0.08278355342
595	0.08268145379
596	0.08258271274
597	0.08250697242
598	0.0823459593
599	0.08231557096
600	0.08215485803
601	0.08205888075
602	0.08183851098
603	0.08173389085
604	0.08164961523
605	0.08146257874
606	0.0814251014
607	0.08140200307
608	0.08112458153
609	0.0809528465
610	0.08090207016
611	0.08080663755
612	0.08067756032
613	0.0805381064
614	0.08027815341
615	0.08004446123
616	0.07972041941
617	0.07961459936
618	0.0795889601
619	0.07953452424
620	0.07938994618
621	0.07922199802
622	0.07909169773
623	0.07889422352
624	0.07876137931
625	0.07862552571
626	0.07858928108
627	0.07851962525
628	0.07847774715
629	0.07836601312
630	0.07823066201
631	0.0780958183
632	0.07791045365
633	0.07780700729
634	0.07764399231
635	0.07750251462
636	0.07745450008
637	0.07730802433
638	0.07726878648
639	0.07720026759
640	0.0771398454
641	0.07694482958
642	0.07689867186
643	0.0767423626
644	0.07663289699
645	0.07646146784
646	0.07634343364
647	0.07624642272
648	0.07611581003
649	0.07598024615
650	0.0758821419
651	0.07575252757
652	0.07563462642
653	0.07558936856
654	0.07548594833
655	0.07544534662
656	0.07528782282
657	0.07519790276
658	0.07516685951
659	0.07513170587
660	0.07507238697
661	0.07497171806
662	0.07477267866
663	0.07467381147
664	0.07441649431
665	0.07431885391
666	0.07416702947
667	0.07413926184
668	0.07406828973
669	0.07391646947
670	0.07380408918
671	0.0736602808
672	0.0734311705
673	0.0732789237
674	0.07304943946
675	0.07299495114
676	0.07281497232
677	0.07271919684
678	0.07252958359
679	0.07235875648
680	0.07230334419
681	0.07225557138
682	0.07210797025
683	0.07204507427
684	0.07196927229
685	0.07186911129
686	0.07183953626
687	0.07173305772
688	0.0716637764
689	0.07153869294
690	0.07151045596
691	0.07132721905
692	0.07120458017
693	0.07116759834
694	0.07108953599
695	0.0710257318
696	0.07097856664
697	0.07095558302
698	0.07083749593
699	0.07075242096
700	0.07067082002
701	0.07063006318
702	0.07054113637
703	0.07048233446
704	0.0704119699
705	0.07039545932
706	0.07028251666
707	0.07024160426
708	0.07019246246
709	0.07007229201
710	0.06998710514
711	0.06995440621
712	0.0698455769
713	0.06961845386
714	0.06952590787
715	0.06941499621
716	0.06931739387
717	0.06926957215
718	0.06917289359
719	0.06909203555
720	0.06898681362
721	0.06878762702
722	0.06859123239
723	0.06851829605
724	0.06846188108
725	0.06830828589
726	0.06818828795
727	0.0680699286
728	0.06793762143
729	0.06788218613
730	0.06780461919
731	0.06765229435
732	0.06759308019
733	0.0675098369
734	0.06743427253
735	0.06740011117
736	0.06737485492
737	0.06736712352
738	0.06722072523
739	0.06710519812
740	0.06704334377
741	0.06696912267
742	0.06687551843
743	0.06671142488
744	0.06664152673
745	0.06651336047
746	0.06648200466
747	0.0663713637
748	0.06616963033
749	0.0661072389
750	0.0660939643
751	0.06599722249
752	0.06593794481
753	0.06576730106
754	0.06557089135
755	0.06541453084
756	0.06539527414
757	0.06525802743
758	0.06518798333
759	0.06500883339
760	0.06492727105
761	0.0648311297
762	0.06474705297
763	0.06472483202
764	0.06464799316
765	0.06459976489
766	0.06451556606
767	0.06447452183
768	0.06436678826
769	0.06432026362
770	0.06423197646
771	0.06420191407
772	0.06417791863
773	0.06414370481
774	0.06405426685
775	0.06397808642
776	0.06390689376
777	0.06381032987
778	0.06371090097
779	0.06356854048
780	0.06347711277
781	0.06336044102
782	0.06326594215
783	0.06326253931
784	0.06316988509
785	0.06309005379
786	0.06298512719
787	0.06293301082
788	0.06279239808
789	0.06272137114
790	0.06259337025
791	0.06239632823
792	0.06230745438
793	0.06226183562
794	0.06203752923
795	0.06190128429
796	0.0617873914
797	0.06171344552
798	0.06163526885
799	0.06155896855
800	0.06150990385
801	0.0613901984
802	0.06125999495
803	0.06114528803
804	0.06107827492
805	0.06089088753
806	0.06075746831
807	0.06070515035
808	0.06058688145
809	0.06043288461
810	0.06039824718
811	0.06033149631
812	0.06020782926
813	0.06017503958
814	0.06008410383
815	0.05993379008
816	0.05984693553
817	0.05980116959
818	0.05975091542
819	0.05972196062
820	0.05960926621
821	0.0595956064
822	0.05953076456
823	0.05945161757
824	0.05940619585
825	0.05933189331
826	0.05926136884
827	0.05914464611
828	0.0590899186
829	0.0589720113
830	0.05884924946
831	0.05875593933
832	0.05866804582
833	0.05857093582
834	0.05852864963
835	0.05849828302
836	0.05835579994
837	0.05828925742
838	0.05819812447
839	0.05818234262
840	0.05805252684
841	0.05793420052
842	0.05785742433
843	0.05775048755
844	0.05760174013
845	0.05754011697
846	0.05743991284
847	0.05736269873
848	0.05733597217
849	0.05725354121
850	0.05722309858
851	0.05713299481
852	0.05702953217
853	0.05696737504
854	0.05685422209
855	0.05683033579
856	0.05675499158
857	0.05664766109
858	0.05660064465
859	0.05650436076
860	0.05637393087
861	0.05630066387
862	0.05628020609
863	0.05612941142
864	0.05609448815
865	0.05598060158
866	0.05589274357
867	0.05584782627
868	0.05572097999
869	0.05568263882
870	0.0556232142
871	0.05551198118
872	0.05547756759
873	0.05541738867
874	0.05529100781
875	0.05513433072
876	0.05505482997
877	0.05504128828
878	0.05498949129
879	0.05489584962
880	0.05484360605
881	0.05477967257
882	0.05474139204
883	0.0545945741
884	0.05458523572
885	0.05451474562
886	0.05446618141
887	0.05440789525
888	0.05430003395
889	0.05428795231
890	0.05415500384
891	0.05405623149
892	0.05399743637
